datetime,value
2018-04-21 14:55:57.669,online
2018-04-21 14:56:07.672,online
2018-04-21 14:56:17.671,online
2018-04-21 14:56:27.671,online
2018-04-21 14:56:37.622,online
2018-04-21 14:56:47.671,online
2018-04-21 14:56:57.674,online
2018-04-21 14:57:07.674,online
2018-04-21 14:57:17.673,online
2018-04-21 14:57:27.671,online
2018-04-21 14:57:37.673,online
2018-04-21 14:57:47.673,online
2018-04-21 14:57:57.670,online
2018-04-21 14:58:07.670,online
2018-04-21 14:58:17.687,online
2018-04-21 14:58:27.671,online
2018-04-21 14:58:37.670,online
2018-04-21 14:58:47.670,online
2018-04-21 14:58:57.669,online
2018-04-21 14:59:07.670,online
2018-04-21 14:59:17.670,online
2018-04-21 14:59:27.670,online
2018-04-21 14:59:37.658,online
2018-04-21 14:59:47.670,online
2018-04-21 14:59:57.664,online
2018-04-21 15:00:07.670,online
2018-04-21 15:00:17.675,online
2018-04-21 15:00:27.671,online
2018-04-21 15:00:37.670,online
2018-04-21 15:00:47.671,online
2018-04-21 15:00:57.670,online
2018-04-21 15:01:07.670,online
2018-04-21 15:01:17.671,online
2018-04-21 15:01:27.683,online
2018-04-21 15:01:37.676,online
2018-04-21 15:01:47.675,online
2018-04-21 15:01:57.674,online
2018-04-21 15:02:07.670,online
2018-04-21 15:02:17.677,online
2018-04-21 15:02:27.676,online
2018-04-21 15:02:37.663,online
2018-04-21 15:02:47.672,online
2018-04-21 15:02:57.670,online
2018-04-21 15:03:07.670,online
2018-04-21 15:03:17.671,online
2018-04-21 15:03:27.670,online
2018-04-21 15:03:37.663,online
2018-04-21 15:03:47.677,online
2018-04-21 15:03:57.677,online
2018-04-21 15:04:17.668,offline
2018-04-21 15:04:27.776,online
2018-04-21 15:04:47.667,offline
2018-04-21 15:04:57.688,online
2018-04-21 15:05:07.673,online
2018-04-21 15:05:17.671,online
2018-04-21 15:05:27.689,online
2018-04-21 15:05:37.673,online
2018-04-21 15:05:47.670,online
2018-04-21 15:05:57.674,online
2018-04-21 15:06:07.671,online
2018-04-21 15:06:17.670,online
2018-04-21 15:06:27.689,online
2018-04-21 15:06:37.671,online
2018-04-21 15:06:47.670,online
2018-04-21 15:06:57.672,online
2018-04-21 15:07:07.681,online
2018-04-21 15:07:17.671,online
2018-04-21 15:07:27.683,online
2018-04-21 15:07:37.670,online
2018-04-21 15:07:57.668,offline
2018-04-21 15:08:07.684,online
2018-04-21 15:08:17.683,online
2018-04-21 15:08:27.669,online
2018-04-21 15:08:47.667,offline
2018-04-21 15:08:57.689,online
2018-04-21 15:09:07.672,online
2018-04-21 15:09:17.683,online
2018-04-21 15:09:27.670,online
2018-04-21 15:09:37.670,online
2018-04-21 15:09:47.679,online
2018-04-21 15:09:57.670,online
2018-04-21 15:10:07.670,online
2018-04-21 15:10:17.679,online
2018-04-21 15:10:27.670,online
2018-04-21 15:10:37.672,online
2018-04-21 15:10:47.671,online
2018-04-21 15:10:57.671,online
2018-04-21 15:11:07.671,online
2018-04-21 15:11:17.672,online
2018-04-21 15:11:27.673,online
2018-04-21 15:11:37.674,online
2018-04-21 15:11:47.674,online
2018-04-21 15:11:57.671,online
2018-04-21 15:12:07.670,online
2018-04-21 15:12:17.663,online
2018-04-21 15:12:27.671,online
2018-04-21 15:12:37.669,online
2018-04-21 15:12:47.672,online
2018-04-21 15:12:57.670,online
2018-04-21 15:13:07.670,online
2018-04-21 15:13:17.672,online
2018-04-21 15:13:27.663,online
2018-04-21 15:13:37.670,online
2018-04-21 15:13:47.675,online
2018-04-21 15:13:57.678,online
2018-04-21 15:14:07.672,online
2018-04-21 15:14:17.677,online
2018-04-21 15:14:27.670,online
2018-04-21 15:14:37.671,online
2018-04-21 15:14:47.672,online
2018-04-21 15:14:57.670,online
2018-04-21 15:15:07.670,online
2018-04-21 15:15:17.673,online
2018-04-21 15:15:27.670,online
2018-04-21 15:15:37.670,online
2018-04-21 15:15:47.670,online
2018-04-21 15:15:57.672,online
2018-04-21 15:16:07.670,online
2018-04-21 15:16:17.670,online
2018-04-21 15:16:27.673,online
2018-04-21 15:16:37.674,online
2018-04-21 15:16:47.670,online
2018-04-21 15:16:57.622,online
